,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
29,CHEMBL4097753,CN(C)c1cccc(Oc2cc3c(cc2NC(=O)COCc2ccc(C(F)(F)F)cc2)NC(=O)[C@@H](CCC(=O)N2CCC(F)CC2)NC3=O)c1,active,699.7019999999999,5.510200000000004,3.0,7.0,6.376750709602099
30,CHEMBL4753767,COC(=O)Cn1cnc2cc(NC(=O)COCc3ccc(C(F)(F)F)cc3)c(Oc3cccc(N4CCOCC4)c3)cc2c1=O,active,626.588,4.372500000000004,1.0,10.0,6.259637310505756
31,CHEMBL4749022,CN(C)c1cccc(Oc2cc3c(=O)n(CC(=O)N4CCCC(F)(F)C4)cnc3cc2NC(=O)COCc2ccc(C(F)(F)F)cc2)c1,active,673.6390000000004,5.686600000000006,1.0,8.0,6.180456064458132
32,CHEMBL4740438,O=C(COCc1ccc(C(F)(F)F)cc1)Nc1cc2ncn(CC(=O)N3CCCC(F)(F)C3)c(=O)c2cc1Oc1cccc(N2CCOCC2)c1,active,715.6759999999999,5.457200000000005,1.0,9.0,6.301029995663981
33,CHEMBL4778195,CN(CCc1nc2ccccc2n1CC(=O)Nc1ccc2c(c1)CCC2)S(=O)(=O)c1ccccc1,active,488.6130000000003,4.026900000000003,1.0,5.0,6.200659450546418
34,CHEMBL4792227,COc1cc(NS(=O)(=O)C(C)C)cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2C)c1,active,480.6340000000003,4.292320000000003,2.0,6.0,6.281498311132726
35,CHEMBL4784430,COc1cc(NS(C)(=O)=O)cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)c1,active,453.56800000000027,2.7875000000000005,3.0,7.0,6.4089353929735005
36,CHEMBL4800115,CCCS(=O)(=O)Nc1cc(OC)cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)c1,active,481.62200000000024,3.567700000000001,3.0,7.0,6.614393726401688
37,CHEMBL4781705,COc1cc(NS(=O)(=O)C(C)C)cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)c1,active,481.6220000000003,3.5661000000000014,3.0,7.0,6.91721462968355
38,CHEMBL4776631,COc1cc(NS(=O)(=O)c2ccccc2)cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)c1,active,515.6390000000004,4.216800000000002,3.0,7.0,7.275724130399211
39,CHEMBL4795976,CCOc1cc(NS(=O)(=O)C(C)C)cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)c1,active,495.6490000000003,3.9562000000000017,3.0,7.0,7.337242168318426
40,CHEMBL4792496,CC(C)Oc1cc(NS(=O)(=O)C(C)C)cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)c1,active,509.6760000000003,4.344700000000002,3.0,7.0,6.490797477668897
41,CHEMBL4786742,CCCS(=O)(=O)Nc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)ccc1OC,active,481.6220000000003,3.567700000000002,3.0,7.0,6.376750709602099
42,CHEMBL4786295,CCCS(=O)(=O)Nc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)ccc1O,active,467.59500000000025,3.2647000000000017,4.0,7.0,6.0
